target,cohort,feature_set,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2,mean_improvement_vs_test_mean_pct
glucose_gL,all_known,fusion_interpretable,pcr,"n_components=5,alpha=1.0,max_features=24,y_transform=log1p",10,0.75034976,0.37965086,0.35547596,-0.20817822,-8.7480557
glucose_gL,all_known,fusion_full,pls,"n_components=2,alpha=1.0,max_features=24,y_transform=log1p",10,0.75035577,0.37068118,0.3654655,-0.30311887,-11.477807
glucose_gL,all_known,eem_full,pcr,"n_components=2,alpha=1.0,max_features=24,y_transform=log1p",10,0.7504485,0.35805555,0.37692255,-0.18403803,-7.6909032
glucose_gL,all_known,fusion_full,pcr,"n_components=12,alpha=1.0,max_features=384,y_transform=log1p",10,0.75098307,0.35889268,0.36207645,-0.34182055,-12.83921
glucose_gL,all_known,eem_full,pcr,"n_components=8,alpha=1.0,max_features=192,y_transform=log1p",10,0.75104474,0.35397661,0.37843064,-0.20205946,-8.2919769
glucose_gL,all_known,eem_full,pcr,"n_components=8,alpha=1.0,max_features=384,y_transform=log1p",10,0.75104474,0.35397661,0.37843064,-0.20205946,-8.2919769
glucose_gL,all_known,eem_full,pcr,"n_components=2,alpha=1.0,max_features=96,y_transform=log1p",10,0.75113203,0.36056636,0.3741463,-0.18389484,-7.6907258
glucose_gL,all_known,fusion_interpretable,knn,"k=5,weighted=True,max_features=48,y_transform=log1p",10,0.75132877,0.33918434,0.35033964,-0.4986514,-16.801663
glucose_gL,all_known,fusion_interpretable,knn,"k=5,weighted=True,max_features=96,y_transform=log1p",10,0.75132877,0.33918434,0.35033964,-0.4986514,-16.801663
glucose_gL,all_known,fusion_full,pls,"n_components=2,alpha=1.0,max_features=96,y_transform=log1p",10,0.75137674,0.3639361,0.36519398,-0.3798435,-13.585916
glucose_gL,all_known,eem_full,pcr,"n_components=8,alpha=1.0,max_features=96,y_transform=log1p",10,0.7515629,0.35120365,0.38158882,-0.22427717,-8.9697725
glucose_gL,all_known,eem_full,pcr,"n_components=5,alpha=1.0,max_features=24,y_transform=log1p",10,0.75162874,0.35557193,0.37814311,-0.19215583,-8.0347017
glucose_gL,all_known,eem_full,pcr,"n_components=3,alpha=1.0,max_features=192,y_transform=log1p",10,0.75173912,0.36001696,0.37245271,-0.17625823,-7.4912034
glucose_gL,all_known,eem_full,pcr,"n_components=3,alpha=1.0,max_features=384,y_transform=log1p",10,0.75173912,0.36001696,0.37245271,-0.17625823,-7.4912034
glucose_gL,all_known,fusion_interpretable,pls,"n_components=3,alpha=1.0,max_features=24,y_transform=log1p",10,0.75204125,0.37434157,0.35733554,-0.24225476,-9.9504022
glucose_gL,all_known,eem_full,pcr,"n_components=3,alpha=1.0,max_features=12,y_transform=log1p",10,0.75204656,0.35740823,0.37756717,-0.18306863,-7.7740291
glucose_gL,all_known,eem_interpretable,ridge,"alpha=10.0,max_features=12,y_transform=log1p",10,0.7521598,0.36481951,0.37724122,-0.15557511,-6.7831033
glucose_gL,all_known,eem_interpretable,ridge,"alpha=10.0,max_features=24,y_transform=log1p",10,0.7521598,0.36481951,0.37724122,-0.15557511,-6.7831033
glucose_gL,all_known,eem_interpretable,ridge,"alpha=10.0,max_features=48,y_transform=log1p",10,0.7521598,0.36481951,0.37724122,-0.15557511,-6.7831033
glucose_gL,all_known,eem_interpretable,ridge,"alpha=10.0,max_features=96,y_transform=log1p",10,0.7521598,0.36481951,0.37724122,-0.15557511,-6.7831033
glucose_gL,all_known,fusion_interpretable,pls,"n_components=2,alpha=1.0,max_features=24,y_transform=log1p",10,0.75224388,0.37840161,0.35635441,-0.233803,-9.6522726
glucose_gL,all_known,eem_full,knn,"k=9,weighted=True,max_features=24,y_transform=log1p",10,0.7522562,0.37799106,0.37398029,-0.13267323,-5.7527851
glucose_gL,all_known,fusion_full,pls,"n_components=2,alpha=1.0,max_features=192,y_transform=log1p",10,0.75255565,0.36458255,0.36245848,-0.36913003,-13.417791
glucose_gL,all_known,eem_full,pls,"n_components=2,alpha=1.0,max_features=24,y_transform=log1p",10,0.7525635,0.3565125,0.38141242,-0.19674448,-8.2004032
glucose_gL,all_known,fusion_interpretable,knn,"k=5,weighted=True,max_features=12,y_transform=log1p",10,0.75260948,0.3425861,0.36739347,-0.60497888,-18.60786
glucose_gL,all_known,eem_full,pls,"n_components=2,alpha=1.0,max_features=12,y_transform=log1p",10,0.75262667,0.35711934,0.37913776,-0.19266012,-8.0716701
glucose_gL,all_known,eem_interpretable,pcr,"n_components=5,alpha=1.0,max_features=12,y_transform=log1p",10,0.75283116,0.36360166,0.37670575,-0.16239572,-7.046883
glucose_gL,all_known,eem_interpretable,pcr,"n_components=5,alpha=1.0,max_features=24,y_transform=log1p",10,0.75283116,0.36360166,0.37670575,-0.16239572,-7.046883
glucose_gL,all_known,eem_interpretable,pcr,"n_components=5,alpha=1.0,max_features=48,y_transform=log1p",10,0.75283116,0.36360166,0.37670575,-0.16239572,-7.046883
glucose_gL,all_known,eem_interpretable,pcr,"n_components=5,alpha=1.0,max_features=96,y_transform=log1p",10,0.75283116,0.36360166,0.37670575,-0.16239572,-7.046883
glucose_gL,all_known,fusion_full,pcr,"n_components=5,alpha=1.0,max_features=192,y_transform=log1p",10,0.75321669,0.35731046,0.3654756,-0.36831532,-13.773162
glucose_gL,all_known,fusion_interpretable,pls,"n_components=2,alpha=1.0,max_features=12,y_transform=log1p",10,0.75324983,0.37412874,0.36032908,-0.25993702,-10.554085
glucose_gL,all_known,eem_full,pls,"n_components=3,alpha=1.0,max_features=96,y_transform=log1p",10,0.75326334,0.34481059,0.38898574,-0.23819336,-9.5829652
glucose_gL,target_focused,eem_interpretable,knn,"k=3,weighted=True,max_features=12,y_transform=log1p",10,0.75348098,0.24968739,0.47429331,-0.31234512,-3.6094627
glucose_gL,target_focused,eem_interpretable,knn,"k=3,weighted=True,max_features=24,y_transform=log1p",10,0.75348098,0.24968739,0.47429331,-0.31234512,-3.6094627
glucose_gL,target_focused,eem_interpretable,knn,"k=3,weighted=True,max_features=48,y_transform=log1p",10,0.75348098,0.24968739,0.47429331,-0.31234512,-3.6094627
glucose_gL,target_focused,eem_interpretable,knn,"k=3,weighted=True,max_features=96,y_transform=log1p",10,0.75348098,0.24968739,0.47429331,-0.31234512,-3.6094627
glucose_gL,all_known,fusion_interpretable,pcr,"n_components=3,alpha=1.0,max_features=12,y_transform=log1p",10,0.75364554,0.37722133,0.3614607,-0.24540953,-10.120249
glucose_gL,all_known,fusion_full,pcr,"n_components=3,alpha=1.0,max_features=96,y_transform=log1p",10,0.7537027,0.36725557,0.36606863,-0.36040121,-13.26834
glucose_gL,all_known,raman_full,pcr,"n_components=5,alpha=1.0,max_features=24,y_transform=log1p",10,0.75385463,0.39021706,0.35941863,-0.17502686,-7.5818711
glucose_gL,all_known,raman_full,pcr,"n_components=3,alpha=1.0,max_features=24,y_transform=log1p",10,0.75389852,0.39021329,0.3597445,-0.17717747,-7.6449652
glucose_gL,all_known,fusion_full,pcr,"n_components=3,alpha=1.0,max_features=48,y_transform=log1p",10,0.75394741,0.3662294,0.36512905,-0.36366333,-13.394561
glucose_gL,all_known,eem_full,ridge,"alpha=10.0,max_features=12,y_transform=log1p",10,0.75428619,0.35570442,0.38121867,-0.19748212,-8.3470151
glucose_gL,all_known,fusion_interpretable,pcr,"n_components=2,alpha=1.0,max_features=48,y_transform=log1p",10,0.75437562,0.38323781,0.36455121,-0.21095227,-8.9315662
glucose_gL,all_known,fusion_interpretable,pcr,"n_components=2,alpha=1.0,max_features=96,y_transform=log1p",10,0.75437562,0.38323781,0.36455121,-0.21095227,-8.9315662
