target,cohort,feature_set,model,config,seed,n_rows,n_train,n_test,n_features_raw,n_features_after_variance,n_features_selected,rmse,mae,r2,test_mean_rmse,improvement_vs_test_mean_pct
rhamnose_gL,all_known,raman_interpretable,knn,"k=5,weighted=True,max_features=24,y_transform=none",0,153,115,38,27,23,23,0.7850708315994726,0.49755668663427843,-0.5637729070020685,0.6278009950097084,-25.05090591443425
rhamnose_gL,all_known,raman_interpretable,knn,"k=9,weighted=True,max_features=24,y_transform=none",0,153,115,38,27,23,23,0.7994398197714733,0.565197447244744,-0.6215395793707608,0.6278009950097084,-27.339686640527
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=2,alpha=1.0,max_features=24,y_transform=none",0,153,115,38,27,23,23,0.6668122133289118,0.5009613074901754,-0.1281402443381956,0.6278009950097084,-6.2139465577941815
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=2,alpha=1.0,max_features=24,y_transform=none",0,153,115,38,27,23,23,0.7634172567137502,0.5469515050160006,-0.47869956854383466,0.6278009950097084,-21.601791456533856
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=3,alpha=1.0,max_features=24,y_transform=none",0,153,115,38,27,23,23,0.7341836432481178,0.5298916781792429,-0.3676198953566807,0.6278009950097084,-16.945281878179287
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=3,alpha=1.0,max_features=24,y_transform=none",0,153,115,38,27,23,23,0.9710482055865922,0.572246877974823,-1.3924208615485907,0.6278009950097084,-54.67452477860054
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=5,alpha=1.0,max_features=24,y_transform=none",0,153,115,38,27,23,23,0.7196965832182688,0.5240468673902478,-0.3141800872128153,0.6278009950097084,-14.6376939410775
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=5,alpha=1.0,max_features=24,y_transform=none",0,153,115,38,27,23,23,1.2994512033335162,0.6380929046459588,-3.284261309883613,0.6278009950097084,-106.98457212757702
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=8,alpha=1.0,max_features=24,y_transform=none",0,153,115,38,27,23,23,1.2345262090366995,0.6249803809375486,-2.866843802750682,0.6278009950097084,-96.6429201052172
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=8,alpha=1.0,max_features=24,y_transform=none",0,153,115,38,27,23,23,1.538159616726106,0.7240596782664053,-5.002868238364837,0.6278009950097084,-145.00751495341603
rhamnose_gL,all_known,raman_interpretable,pcr,"n_components=12,alpha=1.0,max_features=24,y_transform=none",0,153,115,38,27,23,23,1.3068680801305346,0.6702072869121589,-3.333307432871231,0.6278009950097084,-108.16597783670683
rhamnose_gL,all_known,raman_interpretable,pls,"n_components=12,alpha=1.0,max_features=24,y_transform=none",0,153,115,38,27,23,23,1.467087075928535,0.6996798087474833,-4.460944756103397,0.6278009950097084,-133.68664395089846
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=0.1,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,17.439829101646858,3.185805932721104,-770.6856961235725,0.6278009950097084,-2677.923138107987
rhamnose_gL,all_known,raman_interpretable,ridge,"alpha=1.0,max_features=24,y_transform=log1p",0,153,115,38,27,23,23,6.670797117536402,1.4489932770202565,-111.9045555495927,0.6278009950097084,-962.5655535052542
