target,cohort,feature_set,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2,mean_improvement_vs_test_mean_pct
xylose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=5,max_features=192",5,0.67821576,0.22773432,0.38323652,-0.29270732,-9.7022698
xylose_gL,all_known,eem_full,sklearn_plsr,"n_components=2,max_features=192",5,0.68848639,0.18389518,0.37602908,-0.36444493,-13.866613
xylose_gL,all_known,eem_interpretable,sklearn_plsr,"n_components=2,max_features=192",5,0.69109893,0.21897373,0.39035716,-0.28819171,-11.528342
xylose_gL,all_known,eem_full,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",5,0.74707677,0.2237798,0.33801219,-0.58064769,-22.316079
xylose_gL,all_known,eem_full,sklearn_plsr,"n_components=5,max_features=192",5,0.74831311,0.069089172,0.46083921,-1.3592424,-38.730634
xylose_gL,all_known,eem_full,sklearn_svr,"kernel=rbf,C=10,epsilon=0.05,max_features=192",5,0.75347235,0.18202929,0.36989285,-1.0501426,-31.342056
xylose_gL,all_known,fusion_full,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",5,0.86138951,0.14104791,0.52777193,-6.2723919,-150.30482
xylose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=2,max_features=192",5,0.89937195,0.31578658,0.44751084,-9.2332866,-171.74802
xylose_gL,all_known,eem_interpretable,xgboost,"n_estimators=200,max_depth=2,learning_rate=0.05,max_features=192",5,0.91014807,0.10937722,0.41753235,-2.9236425,-73.008176
xylose_gL,all_known,fusion_interpretable,sklearn_plsr,"n_components=5,max_features=192",5,1.1141477,0.61049513,0.4950561,-19.173571,-247.37254
xylose_gL,all_known,eem_full,sklearn_svr,"kernel=linear,C=1,epsilon=0.05,max_features=192",5,1.3274532,0.25721375,0.92352466,-9.6571022,-173.78983
