target,cohort,feature_set,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2,mean_improvement_vs_test_mean_pct
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=96,y_transform=none,x_transform=l2",10,0.70604366,0.26890681,0.41882353,-0.62439496,-8.2087977
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=96,y_transform=log1p,x_transform=l2",10,0.70604366,0.26890681,0.41882353,-0.62439496,-8.2087977
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=12,y_transform=none,x_transform=sample_center",10,0.71565647,0.26545868,0.42491176,-0.66065273,-9.5366166
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=12,y_transform=log1p,x_transform=sample_center",10,0.71565647,0.26545868,0.42491176,-0.66065273,-9.5366166
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=24,y_transform=none,x_transform=sample_center",10,0.71565647,0.26545868,0.42491176,-0.66065273,-9.5366166
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=24,y_transform=log1p,x_transform=sample_center",10,0.71565647,0.26545868,0.42491176,-0.66065273,-9.5366166
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=48,y_transform=none,x_transform=sample_center",10,0.71565647,0.26545868,0.42491176,-0.66065273,-9.5366166
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=48,y_transform=log1p,x_transform=sample_center",10,0.71565647,0.26545868,0.42491176,-0.66065273,-9.5366166
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=96,y_transform=none,x_transform=sample_center",10,0.71565647,0.26545868,0.42491176,-0.66065273,-9.5366166
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=96,y_transform=log1p,x_transform=sample_center",10,0.71565647,0.26545868,0.42491176,-0.66065273,-9.5366166
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=12,y_transform=none,x_transform=sample_zscore",10,0.71935274,0.23930235,0.44097059,-0.60573305,-9.6971744
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=12,y_transform=log1p,x_transform=sample_zscore",10,0.71935274,0.23930235,0.44097059,-0.60573305,-9.6971744
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=24,y_transform=none,x_transform=sample_zscore",10,0.71935274,0.23930235,0.44097059,-0.60573305,-9.6971744
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=24,y_transform=log1p,x_transform=sample_zscore",10,0.71935274,0.23930235,0.44097059,-0.60573305,-9.6971744
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=48,y_transform=none,x_transform=sample_zscore",10,0.71935274,0.23930235,0.44097059,-0.60573305,-9.6971744
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=48,y_transform=log1p,x_transform=sample_zscore",10,0.71935274,0.23930235,0.44097059,-0.60573305,-9.6971744
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=96,y_transform=none,x_transform=sample_zscore",10,0.71935274,0.23930235,0.44097059,-0.60573305,-9.6971744
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=manhattan,max_features=96,y_transform=log1p,x_transform=sample_zscore",10,0.71935274,0.23930235,0.44097059,-0.60573305,-9.6971744
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=12,y_transform=none,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=12,y_transform=none,x_transform=none",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=12,y_transform=none,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=12,y_transform=log1p,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=12,y_transform=log1p,x_transform=none",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
