feature_strategy,model_category,model,config,split,n_samples,n_train,n_test,n_features_raw,n_features_selected,rmse,mae,r2,status
Raman interpretable,Statistics,Ridge,alpha=10,1,150,112,38,27,27,0.3135429015545146,0.26810167085409614,-0.17130786953735044,ok
Raman interpretable,Statistics,Lasso,alpha=0.001,1,150,112,38,27,27,0.3051123997709787,0.2424753417490081,-0.10916672063420951,ok
Raman interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",1,150,112,38,27,27,0.30591243057429224,0.23960360725395638,-0.11499100650376848,ok
Raman interpretable,Chemometrics,PLSR,n_components=2,1,150,112,38,27,27,0.31872216435242917,0.27406323075556444,-0.21032400492979164,ok
Raman interpretable,Chemometrics,PLSR,n_components=5,1,150,112,38,27,27,0.32736059388220173,0.27641790098029856,-0.2768207000074665,ok
Raman interpretable,Chemometrics,PCR + Ridge,n_components=5,1,150,112,38,27,27,0.31673683236232547,0.2735548691517473,-0.19529266181601224,ok
Raman interpretable,ML,SVR linear,"C=1,epsilon=0.05",1,150,112,38,27,27,0.300810614635951,0.1462637540813991,-0.07811088082031303,ok
Raman interpretable,ML,SVR RBF,"C=10,epsilon=0.05",1,150,112,38,27,27,0.2918122091318678,0.15646657156728025,-0.014574708306921647,ok
Raman interpretable,ML,Weighted kNN,"k=3,distance",1,150,112,38,27,27,0.33996282055549704,0.23042346873617894,-0.3770190950721424,ok
Raman interpretable,ML,Kernel ridge,"rbf,alpha=0.1",1,150,112,38,27,27,0.2802498230092211,0.2078321535473566,0.06423282025112598,ok
Raman interpretable,ML,Random forest,"n=250,max_depth=4",1,150,112,38,27,27,0.2776371327007084,0.20062519775933155,0.08159927849428839,ok
Raman interpretable,ML,Extra trees,"n=250,max_depth=4",1,150,112,38,27,27,0.30388877390091706,0.25308878209677005,-0.10028813280858695,ok
Raman interpretable,DL,ANN MLP,"hidden=(32,16),early_stop",1,150,112,38,27,27,0.31624109031242303,0.18038710445947884,-0.19155395477322945,ok
Raman interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",1,150,112,38,27,27,0.28438113290453493,0.19308326731681041,0.036440194906747325,ok
Raman interpretable,Statistics,Mean baseline,mean,2,150,112,38,27,12,0.5073359445909648,0.32307330827067665,-0.010602271663350926,ok
Raman interpretable,Statistics,Linear regression,ols,2,150,112,38,27,27,1.1142144920060615,0.4887885717555129,-3.8744611084148257,ok
Raman interpretable,Statistics,Ridge,alpha=10,2,150,112,38,27,27,0.7766559086910444,0.38186790483483835,-1.36835229889639,ok
Raman interpretable,Statistics,Lasso,alpha=0.001,2,150,112,38,27,27,1.1546800624177764,0.4292413210422753,-4.2349475903282165,ok
Raman interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",2,150,112,38,27,27,1.1976373579263304,0.4372744807410497,-4.6317020894204415,ok
Raman interpretable,Chemometrics,PLSR,n_components=2,2,150,112,38,27,27,0.5347027654677134,0.3485762421522739,-0.1225711187157923,ok
Raman interpretable,Chemometrics,PLSR,n_components=5,2,150,112,38,27,27,1.1639982582153403,0.43357494797307544,-4.319779908957982,ok
Raman interpretable,Chemometrics,PCR + Ridge,n_components=5,2,150,112,38,27,27,0.5038180634528041,0.32835680583057597,0.0033642247183690577,ok
Raman interpretable,ML,SVR linear,"C=1,epsilon=0.05",2,150,112,38,27,27,0.5414552801943614,0.2548064937660414,-0.1511030126587034,ok
Raman interpretable,ML,SVR RBF,"C=10,epsilon=0.05",2,150,112,38,27,27,0.48723203186021957,0.23420757724219662,0.06790394814281131,ok
Raman interpretable,ML,Weighted kNN,"k=3,distance",2,150,112,38,27,27,0.44303058718034305,0.2645104546477298,0.22935134170200444,ok
Raman interpretable,ML,Kernel ridge,"rbf,alpha=0.1",2,150,112,38,27,27,0.43484968051312173,0.27890189988942626,0.25754982368520685,ok
Raman interpretable,ML,Random forest,"n=250,max_depth=4",2,150,112,38,27,27,0.444211992363585,0.30405939600623494,0.2252357692478174,ok
Raman interpretable,ML,Extra trees,"n=250,max_depth=4",2,150,112,38,27,27,0.46663291401674795,0.30576204002297896,0.14505192030925773,ok
Raman interpretable,DL,ANN MLP,"hidden=(32,16),early_stop",2,150,112,38,27,27,1.1041936685588025,0.49175095963126836,-3.7871772635452015,ok
Raman interpretable,ML,XGBoost,"n=250,depth=2,eta=0.05",2,150,112,38,27,27,0.4236560414068533,0.3121091868512725,0.29528127399930115,ok
Raman interpretable,Statistics,Mean baseline,mean,3,150,112,38,27,12,0.4934294186768383,0.3210714285714285,-0.00025697240802968757,ok
Raman interpretable,Statistics,Linear regression,ols,3,150,112,38,27,27,0.8457103223799852,0.4659852900075242,-1.938358437564613,ok
Raman interpretable,Statistics,Ridge,alpha=10,3,150,112,38,27,27,0.5169815369409074,0.33677821523687024,-0.09802335119158534,ok
Raman interpretable,Statistics,Lasso,alpha=0.001,3,150,112,38,27,27,0.5120627950211257,0.32525373188668444,-0.07722879620659828,ok
Raman interpretable,Statistics,Elastic Net,"alpha=0.001,l1_ratio=0.2",3,150,112,38,27,27,0.5608496823080675,0.3444264821014779,-0.2922735814037303,ok
Raman interpretable,Chemometrics,PLSR,n_components=2,3,150,112,38,27,27,0.4936578252400542,0.321967198120358,-0.001183216878226645,ok
Raman interpretable,Chemometrics,PLSR,n_components=5,3,150,112,38,27,27,0.5256360397514805,0.3393949023342255,-0.13509387092171532,ok
